"lambda","RMSE_validation","Time","Step"
1.56394855735013,3.66437768151258,10.7629151344299,"Step 1"
2.55595325828225,3.64187166426183,10.9631149768829,"Step 1"
3.59001358731367,3.53993454891836,21.0546088218689,"Step 1"
4.69401987719084,3.4925434076655,20.8648200035095,"Step 1"
5.86857203106969,3.44320429903401,19.0905251502991,"Step 1"
7.20768754902896,3.38838318362573,19.8994998931885,"Step 1"
8.66324794562575,3.17228602437335,28.5747110843658,"Step 1"
10.3370033955862,2.92719972330762,41.8768579959869,"Step 1"
12.2226157377769,2.66741890007655,49.2965052127838,"Step 1"
14.3674179452405,2.54816838005989,54.6688961982727,"Step 1"
16.6943474060332,2.29061464509665,60.1261279582977,"Step 1"
19.4154391126303,2.17636609066908,60.2442300319672,"Step 1"
22.5305017144903,2.07281856294575,59.9774808883667,"Step 1"
25.9791241032505,1.98815113499939,62.3061640262604,"Step 1"
30.1110172050447,1.92442022606229,63.3873159885406,"Step 1"
34.91728351712,1.89289125204697,58.3573479652405,"Step 1"
40.5448643570903,1.89582042176727,57.7760179042816,"Step 1"
47.523960758292,1.92736944891901,60.8620347976684,"Step 1"
57.8506110253816,1.99091176302279,59.3570809364319,"Step 1"
29.91728351712,1.92656873776507,57.9131820201874,"Step 2"
30.91728351712,1.91624678977885,59.8467879295349,"Step 2"
31.91728351712,1.90779310918094,67.6383318901062,"Step 2"
32.91728351712,1.90116892823173,62.2276389598846,"Step 2"
33.91728351712,1.89631707426651,58.524491071701,"Step 2"
34.91728351712,1.89289125204697,60.3818521499634,"Step 2"
35.91728351712,1.89092361879135,65.0790410041809,"Step 2"
36.91728351712,1.89022987612945,62.9596099853516,"Step 2"
37.91728351712,1.89053307674672,65.562383890152,"Step 2"
38.91728351712,1.89182679398143,61.5021200180054,"Step 2"
39.91728351712,1.89401971502524,58.2247359752655,"Step 2"
35.91728351712,1.89092361879135,58.2815351486206,"Step 3"
36.01728351712,1.89080513879626,57.4690301418304,"Step 3"
36.11728351712,1.89070109889055,55.8626160621643,"Step 3"
36.21728351712,1.8906054702599,57.4046440124512,"Step 3"
36.31728351712,1.89052318652836,70.237457036972,"Step 3"
36.41728351712,1.89044608613095,64.6243841648102,"Step 3"
36.51728351712,1.89038050790239,65.8766558170319,"Step 3"
36.61728351712,1.89032811933189,60.5314819812775,"Step 3"
36.71728351712,1.89028692511611,58.797709941864,"Step 3"
36.81728351712,1.89025270985192,58.109405040741,"Step 3"
36.91728351712,1.89022987612945,59.4682710170746,"Step 3"
37.01728351712,1.89021781363894,59.750825881958,"Step 3"
37.11728351712,1.89021621693107,60.3567800521851,"Step 3"
37.21728351712,1.89021949113543,57.8421831130981,"Step 3"
37.31728351712,1.8902291500817,61.9726300239563,"Step 3"
37.41728351712,1.89025580288286,62.1738829612732,"Step 3"
37.51728351712,1.89029380621067,58.1593370437622,"Step 3"
37.61728351712,1.89033627329578,56.9654099941254,"Step 3"
37.71728351712,1.89039371883122,61.8965010643005,"Step 3"
37.81728351712,1.89046022481913,60.7872838973999,"Step 3"
37.91728351712,1.89053307674672,61.0604491233826,"Step 3"
37.01728351712,1.89021781363894,58.7281620502472,"Step 4"
37.02728351712,1.89021708239743,62.8511030673981,"Step 4"
37.03728351712,1.89021670458689,59.9072999954224,"Step 4"
37.04728351712,1.89021652753041,59.7795870304108,"Step 4"
37.05728351712,1.89021637701025,55.2508249282837,"Step 4"
37.06728351712,1.89021625301971,56.6890959739685,"Step 4"
37.07728351712,1.89021615555198,57.9542238712311,"Step 4"
37.08728351712,1.89021608460028,59.4042818546295,"Step 4"
37.09728351712,1.89021606075376,56.9738249778748,"Step 4"
37.10728351712,1.89021609519892,63.1207950115204,"Step 4"
37.11728351712,1.89021621693107,61.7730388641357,"Step 4"
37.12728351712,1.890216365128,63.1070749759674,"Step 4"
37.13728351712,1.89021653978281,61.605052947998,"Step 4"
37.14728351712,1.89021674088858,61.393296957016,"Step 4"
37.15728351712,1.8902169684383,62.3322248458862,"Step 4"
37.16728351712,1.89021722242493,61.8654088973999,"Step 4"
37.17728351712,1.89021746506849,64.3225958347321,"Step 4"
37.18728351712,1.8902177065708,65.4308898448944,"Step 4"
37.19728351712,1.89021814795487,62.2769210338593,"Step 4"
37.20728351712,1.89021880672234,64.6304910182953,"Step 4"
37.21728351712,1.89021949113543,64.1861860752106,"Step 4"
